id,title,runtime,original_language,overview,popularity,tagline,genres,spoken_languages,keywords,directors,writers,averageRating,numVotes,cast,sex_nudity_summary,sex_nudity_score,year,NLP_nudity_score,Sexual_Nudity_Category,sex_nudity_summary_cleaned
27205,Inception,148,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,Your mind is the scene of the crime.,"Action, Science Fiction, Adventure","English, French, Japanese, Swahili","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious",Christopher Nolan,Christopher Nolan,8.8,2641680,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite",Mild.  A man and woman kiss passionately a few times.  A man and woman are shown in bed together (no nudity or sexual activity is shown).  Some sexual innuendo.,2.0,2010,0,None,A man and woman kiss passionately a few times.  A man and woman are shown in bed together (no nudity or sexual activity is shown).  Some sexual innuendo.
157336,Interstellar,169,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,Mankind was born on Earth. It was never meant to die here.,"Adventure, Drama, Science Fiction",English,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated",Christopher Nolan,"Jonathan Nolan, Christopher Nolan",8.7,2260290,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley, Topher Grace, Mackenzie Foy, Ellen Burstyn, John Lithgow",None. There are a few kisses between married couples and a brief hug between a man and a woman.,1.0,2014,0,None,There are a few kisses between married couples and a brief hug between a man and a woman.
155,The Dark Knight,152,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,Welcome to a world without rules.,"Drama, Action, Crime, Thriller","English, Mandarin","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer, Bob Kane",9.0,2974136,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy",Mild.  A few scenes of mild innuendo and some mild sexual references.  A woman is seen in her underwear briefly.,2.0,2008,3,Mild,A few scenes of mild innuendo and some mild sexual references.  A woman is seen in her underwear briefly.
19995,Avatar,162,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,Enter the world of Pandora.,"Action, Adventure, Fantasy, Science Fiction","English, Spanish","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, joyful",James Cameron,James Cameron,7.9,1417136,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso","Mild.  The Na'vi are shown mostly nude, but their private parts are obscured.  Some kissing.  A scene of two characters connecting their neural queues, which is presented as a deeply spiritual and intimate act, but not graphically sexual.",2.0,2009,6,Moderate,"The Na'vi are shown mostly nude, but their private parts are obscured.  Some kissing.  A scene of two characters connecting their neural queues, which is presented as a deeply spiritual and intimate act, but not graphically sexual."
24428,The Avengers,143,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,Some assembly required.,"Science Fiction, Action, Adventure","English, Hindi, Russian","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Joss Whedon,"Joss Whedon, Zak Penn",8.0,1492481,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård",Mild.  Black Widow (Scarlett Johansson) wears tight-fitting outfits.  A couple of scenes show mild flirting and innuendo.  Captain America's backside is briefly shown.,2.0,2012,1,None,Black Widow (Scarlett Johansson) wears tight-fitting outfits.  A couple of scenes show mild flirting and innuendo.  Captain America's backside is briefly shown.
293660,Deadpool,108,en,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,Witness the beginning of a happy ending.,"Action, Adventure, Comedy",English,"superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger",Tim Miller,"Rhett Reese, Paul Wernick",8.0,1187768,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, Stefan Kapičić, Karan Soni, Randal Reeder","Moderate.  Frequent strong sexual innuendo, references, and jokes.  Some scenes of simulated sex, but no nudity.  Partial nudity in a strip club setting.",6.0,2016,7,Moderate,"Frequent strong sexual innuendo, references, and jokes.  Some scenes of simulated sex, but no nudity.  Partial nudity in a strip club setting."
299536,Avengers: Infinity War,149,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,An entire universe. Once and for all.,"Adventure, Action, Science Fiction","English, Xhosa","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee, Jack Kirby, Joe Simon, Steve Englehart, Steve Gan, Bill Mantlo, Keith Giffen, Jim Starlin, Larry Lieber, Don Heck",8.4,1262079,"Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman",Mild.  A brief scene of kissing between two characters. Some suggestive comments/innuendo.,2.0,2018,2,Mild,A brief scene of kissing between two characters. Some suggestive comments/innuendo.
550,Fight Club,139,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,Mischief. Mayhem. Soap.,Drama,English,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness",David Fincher,"Chuck Palahniuk, Jim Uhls",8.8,2421254,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey, Richmond Arquette, David Andrews","Moderate.  Brief flashes of male frontal nudity (Tyler Durden's buttocks are shown in one scene, and his penis is briefly visible in a single frame of a subliminal image flashed during the film).  Several scenes feature sexual innuendo and references to masturbation.  One scene shows a couple having sex (no nudity is shown, but the movements are visible under the sheets).",4.0,1999,9,Severe,"Brief flashes of male frontal nudity (Tyler Durden's buttocks are shown in one scene, and his penis is briefly visible in a single frame of a subliminal image flashed during the film).  Several scenes feature sexual innuendo and references to masturbation.  One scene shows a couple having sex (no nudity is shown, but the movements are visible under the sheets)."
118340,Guardians of the Galaxy,121,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,All heroes start somewhere.,"Action, Science Fiction, Adventure",English,"spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett, Andy Lanning, Bill Mantlo, Keith Giffen, Jim Starlin, Steve Englehart, Steve Gan, Steve Gerber, Val Mayerik",8.0,1303399,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly",Mild. Some innuendo and suggestive comments.  A female character wears somewhat revealing outfits.  Some kissing.,2.0,2014,2,Mild,Some innuendo and suggestive comments.  A female character wears somewhat revealing outfits.  Some kissing.
680,Pulp Fiction,154,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,Just because you are a character doesn't mean you have character.,"Thriller, Crime","English, Spanish, French","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, hilarious",Quentin Tarantino,"Quentin Tarantino, Roger Avary",8.9,2297001,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros",Moderate.  Frequent strong sexual innuendo and references.  A man accidentally shoots a woman in the face.  A woman overdoses on heroin and is revived with an injection to the heart.  A man dances with a mob boss's wife.  A woman gives a man a foot massage.  Some scantily clad women are shown.,4.0,1994,2,Mild,Frequent strong sexual innuendo and references.  A man accidentally shoots a woman in the face.  A woman overdoses on heroin and is revived with an injection to the heart.  A man dances with a mob boss's wife.  A woman gives a man a foot massage.  Some scantily clad women are shown.
